clip,class_name,group,E_i,fer_label,fer_intensity,O_i,od_top_class,od_track_count,M_i,Q_i,passes_gate,S_i
laughing_19.mp4,laughing,HIGH_FACE,0.8623,happy,STRONG,0.7397,person,8,0.4493,486.6,True,0.716137
laughing_20.mp4,laughing,HIGH_FACE,0.752,happy,STRONG,0.7116,person,3,0.6338,456.4,True,0.708322
laughing_21.mp4,laughing,HIGH_FACE,0.6632,happy,STRONG,0.69,person,6,0.5159,404.9,True,0.635743
laughing_22.mp4,laughing,HIGH_FACE,0.8763,happy,STRONG,0.7451,person,2,0.5987,496.5,True,0.760981
laughing_23.mp4,laughing,HIGH_FACE,0.8023,happy,STRONG,0.7091,person,2,0.5759,636.8,True,0.713102
laughing_24.mp4,laughing,HIGH_FACE,0.9132,happy,STRONG,0.7228,person,8,0.5677,747.1,True,0.760169
laughing_25.mp4,laughing,HIGH_FACE,0.7548,happy,STRONG,0.7446,person,6,0.5027,768.8,True,0.688218
laughing_26.mp4,laughing,HIGH_FACE,0.9044,happy,STRONG,0.7693,person,7,0.6425,618.1,True,0.791636
laughing_27.mp4,laughing,HIGH_FACE,0.7586,happy,STRONG,0.7348,person,1,0.6037,545.5,True,0.711577
applauding_00.mp4,applauding,HIGH_FACE,0.7231,happy,STRONG,0.6147,person,5,0.7633,244.8,True,0.695213
applauding_01.mp4,applauding,HIGH_FACE,0.7707,happy,STRONG,0.6266,person,1,0.7321,583.6,True,0.71065
applauding_02.mp4,applauding,HIGH_FACE,0.7998,happy,STRONG,0.5795,person,7,0.8282,653.3,True,0.729812
applauding_03.mp4,applauding,HIGH_FACE,0.7904,happy,STRONG,0.6399,person,4,0.7829,450.1,True,0.735835
applauding_04.mp4,applauding,HIGH_FACE,0.686,happy,STRONG,0.6254,person,6,0.748,311.3,True,0.680275
applauding_05.mp4,applauding,HIGH_FACE,0.8356,happy,STRONG,0.6352,person,2,0.7213,135.1,True,0.736893
applauding_06.mp4,applauding,HIGH_FACE,0.6797,happy,STRONG,0.6247,person,8,0.7245,186.5,True,0.671651
applauding_07.mp4,applauding,HIGH_FACE,0.746,happy,STRONG,0.6052,person,4,0.7158,201.0,True,0.689199
applauding_08.mp4,applauding,HIGH_FACE,0.7501,happy,STRONG,0.5778,person,8,0.7272,682.1,True,0.68408
applauding_09.mp4,applauding,HIGH_FACE,0.8047,happy,STRONG,0.6062,person,1,0.5552,601.0,True,0.672831
applauding_10.mp4,applauding,HIGH_FACE,0.6743,happy,STRONG,0.5682,person,6,0.7844,80.0,False,0.0
applauding_11.mp4,applauding,HIGH_FACE,0.7727,happy,STRONG,0.6372,person,3,0.7702,491.9,True,0.724642
applauding_12.mp4,applauding,HIGH_FACE,0.7233,happy,STRONG,0.5955,person,4,0.6751,923.7,True,0.666498
applauding_13.mp4,applauding,HIGH_FACE,0.7033,happy,STRONG,0.5823,person,3,0.7344,565.5,True,0.668734
applauding_14.mp4,applauding,HIGH_FACE,0.7912,happy,STRONG,0.6032,person,8,0.7286,289.8,True,0.70975
applauding_15.mp4,applauding,HIGH_FACE,0.7146,happy,STRONG,0.636,person,3,0.7363,376.6,True,0.692507
applauding_16.mp4,applauding,HIGH_FACE,0.7403,happy,STRONG,0.5865,person,3,0.6106,352.7,True,0.654038
applauding_17.mp4,applauding,HIGH_FACE,0.5507,happy,STRONG,0.6021,person,1,0.7647,647.5,True,0.622165
applauding_18.mp4,applauding,HIGH_FACE,0.7618,happy,STRONG,0.6111,person,2,0.6785,230.2,True,0.688213
applauding_19.mp4,applauding,HIGH_FACE,0.7174,happy,STRONG,0.584,person,1,0.6823,458.9,True,0.661945
applauding_20.mp4,applauding,HIGH_FACE,0.6789,happy,STRONG,0.5555,person,3,0.7269,260.1,True,0.647707
applauding_21.mp4,applauding,HIGH_FACE,0.7611,happy,STRONG,0.6488,person,8,0.7856,537.3,True,0.727908
applauding_22.mp4,applauding,HIGH_FACE,0.8119,happy,STRONG,0.5806,person,7,0.7054,487.1,True,0.704329
applauding_23.mp4,applauding,HIGH_FACE,0.7063,happy,STRONG,0.6144,person,2,0.7173,397.6,True,0.676857
applauding_24.mp4,applauding,HIGH_FACE,0.7044,happy,STRONG,0.6323,person,7,0.7288,187.9,True,0.685264
applauding_25.mp4,applauding,HIGH_FACE,0.7227,happy,STRONG,0.5917,person,2,0.8266,522.5,True,0.702842
applauding_26.mp4,applauding,HIGH_FACE,0.8062,happy,STRONG,0.6133,person,3,0.7953,603.0,True,0.735977
blowing_out_candles_00.mp4,blowing out candles,HIGH_FACE,0.6835,happy,STRONG,0.8278,person,5,0.772,722.2,True,0.75612
blowing_out_candles_01.mp4,blowing out candles,HIGH_FACE,0.6508,happy,STRONG,0.9151,person,1,0.7312,388.6,True,0.763403
blowing_out_candles_02.mp4,blowing out candles,HIGH_FACE,0.6913,happy,STRONG,0.8376,person,7,0.8604,394.9,True,0.784771
blowing_out_candles_03.mp4,blowing out candles,HIGH_FACE,0.7288,happy,STRONG,0.8621,person,6,0.8051,366.8,True,0.79452
blowing_out_candles_04.mp4,blowing out candles,HIGH_FACE,0.5577,happy,STRONG,0.8673,person,3,0.7532,546.0,True,0.714926
blowing_out_candles_05.mp4,blowing out candles,HIGH_FACE,0.6026,happy,STRONG,0.8956,person,7,0.7444,80.0,False,0.0
blowing_out_candles_06.mp4,blowing out candles,HIGH_FACE,0.7091,happy,STRONG,0.9123,person,4,0.7386,412.5,True,0.787589
blowing_out_candles_07.mp4,blowing out candles,HIGH_FACE,0.6186,happy,STRONG,0.8914,person,1,0.7246,616.3,True,0.740573
blowing_out_candles_08.mp4,blowing out candles,HIGH_FACE,0.6413,happy,STRONG,0.8411,person,4,0.8012,544.1,True,0.751198
blowing_out_candles_09.mp4,blowing out candles,HIGH_FACE,0.5391,happy,STRONG,0.8856,person,8,0.7937,431.3,True,0.724019
blowing_out_candles_10.mp4,blowing out candles,HIGH_FACE,0.6212,happy,STRONG,0.9169,person,5,0.7203,798.6,True,0.74947
blowing_out_candles_11.mp4,blowing out candles,HIGH_FACE,0.6067,happy,STRONG,0.9082,person,7,0.8683,193.5,True,0.777617
blowing_out_candles_12.mp4,blowing out candles,HIGH_FACE,0.6787,happy,STRONG,0.8584,person,3,0.8081,737.2,True,0.773921
blowing_out_candles_13.mp4,blowing out candles,HIGH_FACE,0.7565,happy,STRONG,0.9108,person,6,0.7401,594.4,True,0.806407
blowing_out_candles_14.mp4,blowing out candles,HIGH_FACE,0.808,happy,STRONG,0.9178,person,8,0.894,683.1,True,0.867943
blowing_out_candles_15.mp4,blowing out candles,HIGH_FACE,0.5795,happy,STRONG,0.8724,person,1,0.8039,267.1,True,0.738099
blowing_out_candles_16.mp4,blowing out candles,HIGH_FACE,0.6929,happy,STRONG,0.823,person,3,0.7572,573.5,True,0.754496
blowing_out_candles_17.mp4,blowing out candles,HIGH_FACE,0.5403,happy,STRONG,0.8974,person,3,0.8163,643.8,True,0.734278
blowing_out_candles_18.mp4,blowing out candles,HIGH_FACE,0.5538,happy,STRONG,0.8384,person,7,0.8312,687.6,True,0.722744
blowing_out_candles_19.mp4,blowing out candles,HIGH_FACE,0.5896,happy,STRONG,0.8417,person,2,0.8212,80.0,False,0.0
blowing_out_candles_20.mp4,blowing out candles,HIGH_FACE,0.6931,happy,STRONG,0.8322,person,2,0.677,478.3,True,0.737728
blowing_out_candles_21.mp4,blowing out candles,HIGH_FACE,0.6927,happy,STRONG,0.9022,person,2,0.771,284.0,True,0.785602
blowing_out_candles_22.mp4,blowing out candles,HIGH_FACE,0.6036,happy,STRONG,0.888,person,3,0.8028,275.9,True,0.752941
blowing_out_candles_23.mp4,blowing out candles,HIGH_FACE,0.6097,happy,STRONG,0.8624,person,5,0.7639,263.3,True,0.736699
blowing_out_candles_24.mp4,blowing out candles,HIGH_FACE,0.6495,happy,STRONG,0.8864,person,3,0.791,542.2,True,0.767821
celebrating_00.mp4,celebrating,HIGH_FACE,0.6352,happy,STRONG,0.772,person,3,0.8369,313.3,True,0.733486
celebrating_01.mp4,celebrating,HIGH_FACE,0.6866,happy,STRONG,0.812,person,7,0.692,884.3,True,0.731863
celebrating_02.mp4,celebrating,HIGH_FACE,0.7834,happy,STRONG,0.761,person,3,0.9079,258.5,True,0.806682
celebrating_03.mp4,celebrating,HIGH_FACE,0.7418,happy,STRONG,0.7284,person,4,0.9049,323.4,True,0.777887
celebrating_04.mp4,celebrating,HIGH_FACE,0.7625,happy,STRONG,0.7767,person,6,0.7883,343.8,True,0.773894
celebrating_05.mp4,celebrating,HIGH_FACE,0.8629,happy,STRONG,0.7502,person,8,0.8428,589.2,True,0.818443
celebrating_06.mp4,celebrating,HIGH_FACE,0.78,happy,STRONG,0.8037,person,4,0.7448,451.8,True,0.779512
celebrating_07.mp4,celebrating,HIGH_FACE,0.7516,happy,STRONG,0.7799,person,5,0.7698,360.9,True,0.766038
celebrating_08.mp4,celebrating,HIGH_FACE,0.7079,happy,STRONG,0.7366,person,2,0.8089,571.8,True,0.743189
celebrating_09.mp4,celebrating,HIGH_FACE,0.7438,happy,STRONG,0.7859,person,6,0.7574,126.7,True,0.761912
celebrating_10.mp4,celebrating,HIGH_FACE,0.7315,happy,STRONG,0.7489,person,3,0.8343,768.7,True,0.763308
celebrating_11.mp4,celebrating,HIGH_FACE,0.7225,happy,STRONG,0.7637,person,2,0.7664,263.2,True,0.747883
celebrating_12.mp4,celebrating,HIGH_FACE,0.7878,happy,STRONG,0.6972,person,5,0.7992,690.3,True,0.758964
celebrating_13.mp4,celebrating,HIGH_FACE,0.6497,happy,STRONG,0.7682,person,1,0.7941,566.0,True,0.727268
celebrating_14.mp4,celebrating,HIGH_FACE,0.7972,happy,STRONG,0.7571,person,1,0.75,321.3,True,0.771374
celebrating_15.mp4,celebrating,HIGH_FACE,0.8277,happy,STRONG,0.8294,person,6,0.8357,574.2,True,0.830315
celebrating_16.mp4,celebrating,HIGH_FACE,0.6725,happy,STRONG,0.8006,person,4,0.7952,281.4,True,0.748012
celebrating_17.mp4,celebrating,HIGH_FACE,0.7253,happy,STRONG,0.7611,person,7,0.8231,444.7,True,0.762274
celebrating_18.mp4,celebrating,HIGH_FACE,0.7313,happy,STRONG,0.7739,person,7,0.9228,600.5,True,0.794093
celebrating_19.mp4,celebrating,HIGH_FACE,0.6903,happy,STRONG,0.7861,person,6,0.7753,449.7,True,0.745098
celebrating_20.mp4,celebrating,HIGH_FACE,0.6499,happy,STRONG,0.7394,person,7,0.8189,168.9,True,0.72349
celebrating_21.mp4,celebrating,HIGH_FACE,0.7186,happy,STRONG,0.7587,person,7,0.8131,594.1,True,0.756283
hugging_00.mp4,hugging,HIGH_FACE,0.6407,happy,AVERAGE,0.5624,person,7,0.3681,578.4,True,0.545164
hugging_01.mp4,hugging,HIGH_FACE,0.6683,happy,AVERAGE,0.5596,person,6,0.3072,200.2,True,0.539996
hugging_02.mp4,hugging,HIGH_FACE,0.6003,happy,AVERAGE,0.541,person,2,0.5574,354.0,True,0.568837
hugging_03.mp4,hugging,HIGH_FACE,0.5664,happy,AVERAGE,0.5667,person,3,0.2768,627.4,True,0.494073
hugging_04.mp4,hugging,HIGH_FACE,0.5651,happy,AVERAGE,0.5077,person,1,0.3953,683.9,True,0.502526
hugging_05.mp4,hugging,HIGH_FACE,0.5972,happy,AVERAGE,0.4679,person,6,0.4472,388.2,True,0.514464
hugging_06.mp4,hugging,HIGH_FACE,0.5929,happy,AVERAGE,0.5117,person,7,0.48,647.1,True,0.536229
hugging_07.mp4,hugging,HIGH_FACE,0.5887,happy,AVERAGE,0.5504,person,8,0.4881,548.0,True,0.550139
hugging_08.mp4,hugging,HIGH_FACE,0.5646,happy,AVERAGE,0.5447,person,4,0.4485,819.1,True,0.528583
hugging_09.mp4,hugging,HIGH_FACE,0.5522,happy,AVERAGE,0.5371,person,5,0.4686,345.9,True,0.526043
hugging_10.mp4,hugging,HIGH_FACE,0.5248,happy,AVERAGE,0.5186,person,4,0.5074,280.1,True,0.518265
hugging_11.mp4,hugging,HIGH_FACE,0.5665,happy,AVERAGE,0.5055,person,5,0.4155,370.3,True,0.507389
hugging_12.mp4,hugging,HIGH_FACE,0.5699,happy,AVERAGE,0.5374,person,2,0.4223,414.2,True,0.52164
hugging_13.mp4,hugging,HIGH_FACE,0.5678,happy,AVERAGE,0.5292,person,6,0.3797,620.9,True,0.507282
hugging_14.mp4,hugging,HIGH_FACE,0.5725,happy,AVERAGE,0.5858,person,4,0.3947,337.6,True,0.532711
hugging_15.mp4,hugging,HIGH_FACE,0.6438,happy,AVERAGE,0.5458,person,4,0.4026,380.7,True,0.549208
hugging_16.mp4,hugging,HIGH_FACE,0.664,happy,AVERAGE,0.5517,person,7,0.4591,669.9,True,0.573486
hugging_17.mp4,hugging,HIGH_FACE,0.6063,happy,AVERAGE,0.5185,person,5,0.4431,711.3,True,0.534761
hugging_18.mp4,hugging,HIGH_FACE,0.6328,happy,AVERAGE,0.5571,person,8,0.3898,635.1,True,0.545556
hugging_19.mp4,hugging,HIGH_FACE,0.47,happy,AVERAGE,0.5828,person,2,0.497,278.1,True,0.516238
opening_present_00.mp4,opening present,HIGH_FACE,0.6265,surprise,STRONG,0.6368,person,8,0.5071,331.7,True,0.600271
opening_present_01.mp4,opening present,HIGH_FACE,0.5414,surprise,STRONG,0.6981,person,7,0.6089,641.9,True,0.613113
opening_present_02.mp4,opening present,HIGH_FACE,0.5959,surprise,STRONG,0.7341,person,5,0.5662,860.4,True,0.636861
opening_present_03.mp4,opening present,HIGH_FACE,0.6041,surprise,STRONG,0.7192,person,2,0.6255,80.0,False,0.0
opening_present_04.mp4,opening present,HIGH_FACE,0.6661,surprise,STRONG,0.6578,person,5,0.4731,467.1,True,0.614943
opening_present_05.mp4,opening present,HIGH_FACE,0.6409,surprise,STRONG,0.7422,person,6,0.5225,452.8,True,0.646748
opening_present_06.mp4,opening present,HIGH_FACE,0.582,surprise,STRONG,0.6585,person,8,0.4413,623.2,True,0.573568
opening_present_07.mp4,opening present,HIGH_FACE,0.5687,surprise,STRONG,0.7391,person,3,0.549,709.5,True,0.62342
opening_present_08.mp4,opening present,HIGH_FACE,0.6104,surprise,STRONG,0.7356,person,5,0.4901,452.5,True,0.62414
opening_present_09.mp4,opening present,HIGH_FACE,0.5335,surprise,STRONG,0.649,person,7,0.4724,537.6,True,0.558655
opening_present_10.mp4,opening present,HIGH_FACE,0.6429,surprise,STRONG,0.7132,person,5,0.5263,126.1,True,0.638343
opening_present_11.mp4,opening present,HIGH_FACE,0.5882,surprise,STRONG,0.6768,person,7,0.5383,613.7,True,0.606739
opening_present_12.mp4,opening present,HIGH_FACE,0.5763,surprise,STRONG,0.6455,person,3,0.5377,725.3,True,0.590851
opening_present_13.mp4,opening present,HIGH_FACE,0.7034,surprise,STRONG,0.6799,person,5,0.4987,328.4,True,0.644009
opening_present_14.mp4,opening present,HIGH_FACE,0.695,surprise,STRONG,0.6854,person,7,0.5524,457.4,True,0.655998
opening_present_15.mp4,opening present,HIGH_FACE,0.6755,surprise,STRONG,0.7402,person,8,0.5006,502.3,True,0.654388
opening_present_16.mp4,opening present,HIGH_FACE,0.6186,surprise,STRONG,0.6852,person,4,0.4687,200.9,True,0.604396
opening_present_17.mp4,opening present,HIGH_FACE,0.4702,surprise,STRONG,0.6901,person,7,0.5013,608.5,True,0.554963
giving_or_receiving_award_00.mp4,giving or receiving award,HIGH_FACE,0.5319,happy,AVERAGE,0.6771,person,6,0.4201,920.8,True,0.55479
giving_or_receiving_award_01.mp4,giving or receiving award,HIGH_FACE,0.5249,happy,AVERAGE,0.7539,person,4,0.4465,233.9,True,0.585441
giving_or_receiving_award_02.mp4,giving or receiving award,HIGH_FACE,0.4928,happy,AVERAGE,0.7459,person,6,0.3378,169.2,True,0.54262
giving_or_receiving_award_03.mp4,giving or receiving award,HIGH_FACE,0.567,happy,AVERAGE,0.7978,person,1,0.2848,272.1,True,0.577255
giving_or_receiving_award_04.mp4,giving or receiving award,HIGH_FACE,0.5772,happy,AVERAGE,0.7107,person,6,0.352,394.4,True,0.567608
giving_or_receiving_award_05.mp4,giving or receiving award,HIGH_FACE,0.5229,happy,AVERAGE,0.7215,person,5,0.3417,604.6,True,0.547102
giving_or_receiving_award_06.mp4,giving or receiving award,HIGH_FACE,0.5234,happy,AVERAGE,0.7087,person,4,0.3908,586.5,True,0.555106
giving_or_receiving_award_07.mp4,giving or receiving award,HIGH_FACE,0.5691,happy,AVERAGE,0.7443,person,3,0.4546,80.0,False,0.0
giving_or_receiving_award_08.mp4,giving or receiving award,HIGH_FACE,0.4755,happy,AVERAGE,0.7005,person,5,0.302,469.2,True,0.510869
giving_or_receiving_award_09.mp4,giving or receiving award,HIGH_FACE,0.5517,happy,AVERAGE,0.7645,person,7,0.3693,206.9,True,0.580615
giving_or_receiving_award_10.mp4,giving or receiving award,HIGH_FACE,0.6385,happy,AVERAGE,0.767,person,4,0.3978,823.9,True,0.623312
giving_or_receiving_award_11.mp4,giving or receiving award,HIGH_FACE,0.7256,happy,AVERAGE,0.713,person,7,0.3443,627.4,True,0.625868
giving_or_receiving_award_12.mp4,giving or receiving award,HIGH_FACE,0.5327,happy,AVERAGE,0.7563,person,6,0.4306,349.3,True,0.585458
giving_or_receiving_award_13.mp4,giving or receiving award,HIGH_FACE,0.6173,happy,AVERAGE,0.7555,person,7,0.3655,689.1,True,0.602719
giving_or_receiving_award_14.mp4,giving or receiving award,HIGH_FACE,0.7391,happy,AVERAGE,0.7547,person,1,0.2989,401.3,True,0.634529
giving_or_receiving_award_15.mp4,giving or receiving award,HIGH_FACE,0.5258,happy,AVERAGE,0.708,person,2,0.4177,847.2,True,0.562532
giving_or_receiving_award_16.mp4,giving or receiving award,HIGH_FACE,0.5658,happy,AVERAGE,0.7013,person,4,0.4142,216.9,True,0.575305
giving_or_receiving_award_17.mp4,giving or receiving award,HIGH_FACE,0.6057,happy,AVERAGE,0.738,person,1,0.3498,299.5,True,0.58803
giving_or_receiving_award_18.mp4,giving or receiving award,HIGH_FACE,0.5774,happy,AVERAGE,0.7663,person,5,0.4634,485.9,True,0.615014
singing_00.mp4,singing,HIGH_FACE,0.4995,happy,AVERAGE,0.6748,person,3,0.435,290.0,True,0.544714
singing_01.mp4,singing,HIGH_FACE,0.5632,happy,AVERAGE,0.6592,person,8,0.5834,333.9,True,0.601853
singing_02.mp4,singing,HIGH_FACE,0.3818,happy,AVERAGE,0.6627,person,4,0.5097,416.7,True,0.512081
singing_03.mp4,singing,HIGH_FACE,0.512,happy,AVERAGE,0.7456,person,5,0.5085,448.0,True,0.592872
singing_04.mp4,singing,HIGH_FACE,0.4504,happy,AVERAGE,0.6733,person,7,0.5886,683.5,True,0.562981
singing_05.mp4,singing,HIGH_FACE,0.5795,happy,AVERAGE,0.6876,person,8,0.4533,465.7,True,0.585802
singing_06.mp4,singing,HIGH_FACE,0.4665,happy,AVERAGE,0.7233,person,5,0.5363,81.2,False,0.0
singing_07.mp4,singing,HIGH_FACE,0.4105,happy,AVERAGE,0.672,person,4,0.5937,316.6,True,0.547823
singing_08.mp4,singing,HIGH_FACE,0.4908,happy,AVERAGE,0.6924,person,1,0.5226,573.7,True,0.569314
singing_09.mp4,singing,HIGH_FACE,0.447,happy,AVERAGE,0.7094,person,2,0.4521,635.3,True,0.540131
singing_10.mp4,singing,HIGH_FACE,0.4592,happy,AVERAGE,0.6666,person,5,0.4861,285.8,True,0.538493
singing_11.mp4,singing,HIGH_FACE,0.506,happy,AVERAGE,0.7416,person,2,0.3574,523.7,True,0.551338
singing_12.mp4,singing,HIGH_FACE,0.3389,happy,AVERAGE,0.6924,person,1,0.3642,313.1,True,0.46894
singing_13.mp4,singing,HIGH_FACE,0.4901,happy,AVERAGE,0.6392,person,1,0.4974,579.0,True,0.544094
singing_14.mp4,singing,HIGH_FACE,0.5272,happy,AVERAGE,0.6404,person,7,0.5363,344.1,True,0.569096
singing_15.mp4,singing,HIGH_FACE,0.5119,happy,AVERAGE,0.7132,person,5,0.4572,541.5,True,0.568653
singing_16.mp4,singing,HIGH_FACE,0.4357,happy,AVERAGE,0.6458,person,6,0.56,172.4,True,0.540279
singing_17.mp4,singing,HIGH_FACE,0.5499,happy,AVERAGE,0.7101,person,5,0.4149,350.9,True,0.572233
singing_18.mp4,singing,HIGH_FACE,0.4768,happy,AVERAGE,0.6413,person,4,0.4902,334.6,True,0.53771
singing_19.mp4,singing,HIGH_FACE,0.4629,happy,AVERAGE,0.6403,person,2,0.424,400.1,True,0.515278
singing_20.mp4,singing,HIGH_FACE,0.5045,happy,AVERAGE,0.7039,person,7,0.3741,378.5,True,0.541671
singing_21.mp4,singing,HIGH_FACE,0.6037,happy,AVERAGE,0.6878,person,7,0.4027,306.4,True,0.582898
singing_22.mp4,singing,HIGH_FACE,0.4965,happy,AVERAGE,0.7067,person,3,0.5608,820.6,True,0.586174
crying_00.mp4,crying,HIGH_FACE,-0.2841,sad,STRONG,0.6431,person,5,0.4341,864.0,True,0.333598
crying_01.mp4,crying,HIGH_FACE,-0.3109,sad,STRONG,0.6276,person,8,0.4385,510.5,True,0.329277
crying_02.mp4,crying,HIGH_FACE,-0.353,sad,STRONG,0.6364,person,6,0.3075,651.2,True,0.299615
crying_03.mp4,crying,HIGH_FACE,-0.3382,sad,STRONG,0.6819,person,3,0.3275,454.7,True,0.32053
crying_04.mp4,crying,HIGH_FACE,-0.2915,sad,STRONG,0.5773,person,3,0.369,672.1,True,0.294314
crying_05.mp4,crying,HIGH_FACE,-0.4682,sad,STRONG,0.6145,person,8,0.3403,414.7,True,0.300166
crying_06.mp4,crying,HIGH_FACE,-0.2662,sad,STRONG,0.6091,person,7,0.3209,450.8,True,0.293421
crying_07.mp4,crying,HIGH_FACE,-0.2716,sad,STRONG,0.5916,person,7,0.3724,275.1,True,0.300152
crying_08.mp4,crying,HIGH_FACE,-0.2595,sad,STRONG,0.6109,person,3,0.221,518.1,True,0.269058
crying_09.mp4,crying,HIGH_FACE,-0.3332,sad,STRONG,0.6436,person,6,0.3673,664.4,True,0.317078
crying_10.mp4,crying,HIGH_FACE,-0.2758,sad,STRONG,0.6498,person,5,0.3926,672.6,True,0.325586
crying_11.mp4,crying,HIGH_FACE,-0.3762,sad,STRONG,0.6427,person,4,0.4427,348.1,True,0.335629
crying_12.mp4,crying,HIGH_FACE,-0.2726,sad,STRONG,0.6683,person,5,0.3774,315.2,True,0.328247
crying_13.mp4,crying,HIGH_FACE,-0.3206,sad,STRONG,0.6622,person,8,0.2784,633.9,True,0.301391
crying_14.mp4,crying,HIGH_FACE,-0.2465,sad,STRONG,0.6376,person,7,0.3731,504.7,True,0.316437
crying_15.mp4,crying,HIGH_FACE,-0.2864,sad,STRONG,0.6256,person,3,0.34,160.6,True,0.303956
news_anchoring_00.mp4,news anchoring,HIGH_FACE,0.129,neutral,MINIMAL,0.8353,person,8,0.1783,364.3,True,0.388536
news_anchoring_01.mp4,news anchoring,HIGH_FACE,0.1572,neutral,MINIMAL,0.7717,person,8,0.0489,488.9,True,0.34521
news_anchoring_02.mp4,news anchoring,HIGH_FACE,0.0743,neutral,MINIMAL,0.7689,person,3,0.1612,397.2,True,0.339105
news_anchoring_03.mp4,news anchoring,HIGH_FACE,0.1904,neutral,MINIMAL,0.8146,person,2,0.229,618.5,True,0.418523
news_anchoring_04.mp4,news anchoring,HIGH_FACE,0.1413,neutral,MINIMAL,0.8242,person,4,0.1582,406.6,True,0.384527
news_anchoring_05.mp4,news anchoring,HIGH_FACE,0.1395,neutral,MINIMAL,0.818,person,8,0.3764,545.8,True,0.43621
news_anchoring_06.mp4,news anchoring,HIGH_FACE,0.0824,neutral,MINIMAL,0.7775,person,1,0.0939,739.7,True,0.328545
news_anchoring_07.mp4,news anchoring,HIGH_FACE,0.0651,neutral,MINIMAL,0.8354,person,2,0.2303,287.6,True,0.375993
news_anchoring_08.mp4,news anchoring,HIGH_FACE,0.146,neutral,MINIMAL,0.8403,person,6,0.072,576.1,True,0.370527
news_anchoring_09.mp4,news anchoring,HIGH_FACE,0.1937,neutral,MINIMAL,0.8068,person,8,0.1487,359.0,True,0.397032
news_anchoring_10.mp4,news anchoring,HIGH_FACE,-0.0311,neutral,MINIMAL,0.7858,person,2,0.2056,183.1,True,0.326406
news_anchoring_11.mp4,news anchoring,HIGH_FACE,0.1163,neutral,MINIMAL,0.8377,person,6,0.1696,630.1,True,0.382097
news_anchoring_12.mp4,news anchoring,HIGH_FACE,0.0488,neutral,MINIMAL,0.8002,person,1,0.2648,275.3,True,0.365782
news_anchoring_13.mp4,news anchoring,HIGH_FACE,0.1127,neutral,MINIMAL,0.923,person,5,0.2195,478.9,True,0.423005
news_anchoring_14.mp4,news anchoring,HIGH_FACE,0.0303,neutral,MINIMAL,0.7952,person,1,0.1556,212.3,True,0.32935
news_anchoring_15.mp4,news anchoring,HIGH_FACE,0.0705,neutral,MINIMAL,0.8237,person,6,0.1295,504.9,True,0.348878
news_anchoring_16.mp4,news anchoring,HIGH_FACE,0.021,neutral,MINIMAL,0.7696,person,7,0.2771,631.1,True,0.347009
news_anchoring_17.mp4,news anchoring,HIGH_FACE,0.1552,neutral,MINIMAL,0.8292,person,5,0.1598,629.6,True,0.39226
news_anchoring_18.mp4,news anchoring,HIGH_FACE,0.078,neutral,MINIMAL,0.8345,person,3,0.1445,591.3,True,0.359393
